unitID,comment(s)
Uclc,kelthuzadlich cinematic
Udth,dethecus
Uear,evil arthas
Uktl,kelthuzadlich
Umal,malganis
Usyl,Evil Sylvanas
Utic,tichondrius
Uvar,varimathras
Uvng,vengyr
Uwar,archimonde
eilw,illidan wagon
enec,night elf courier
ensh,Naisha
eshd,shandris
etrs,night elf transport ship
hbew,blood elf wagon
hcth,the captain
hhdl,headless rider
hhes,high elven swordsman
hprt,portal unit
hrdh,pack horse
nbee,blood elf engineer
nbel,blood elf lieutenant
nbsp,battleship
nchg,chaos grunt
nchr,ChaosWolfRider
nchw,ChaosWarlock
nckb,Chaos Kodo Beast
ncpn,Chaos Peon
ndmu,dalaran mutant
ndrd,draenei darkslayer
ndrf,draenei guardian
ndrh,draenei harbinger
ndrj,dalaran reject
ndrl,draenei laborer
ndrm,draenei disciple
ndrn,draenei vindicator
ndrp,draenei protector
ndrs,draenei seer
ndrt,draenei stalker
ndrw,draenei watcher
ndsa,draenei salamander
negz,engineer gazlowe
nemi,emissary
nfgl,flesh golem
ngbl,goblin blaster
nhea,high elven archer
nhef,high elven female
nhem,high elven male
nhew,high elven male
njks,jailor kassan
nmdm,medivh morphed
nmed,medivh
nmpe,naga peon
nmsh,misha the bear
nser,searinox
nspc,support column
nssn,night elf assassin
nthr,tharifas
nw2w,War2Warlock
nwat,watcher
nzlc,cinematic lich king
odkt,Drak'Thul
ogrk,Gar'thok
ojgn,actual orc juggernaut unit
omtg,mathog
onzg,nazgrel
oosc,kodo beast (riderless)
oswy,spirit wyvern
ovlj,vol'jin
owar,orc warchief
ownr,wyvern
uabc,Abomination cinematic
uarb,air barge
ubdd,dead azurelore
ubdr,azurelore
ubot,undead transport
udes,undead destroyer
uktg,kelthuzadghost
uktn,kelthuzadnecro
uswb,sylvanus banshee
haro,Arcane Observatory
nbfl,Fountain of Blood
nbse,bindstone southeast
nbsm,book of summoning pedestal
nbsw,bindstone southwest
nbt1,boulder tower
nbt2,boulder tower upgraded
nbwd,barrow den
ncap,corrupted Ancient Protector
ncaw,corrupted AncientofWar
ncmw,corrupted MoonWell
ncta,corrupted TreeofAges
ncte,corrupted TreeofEternity
nctl,corrupted TreeofLife
ndfl,Defiled Fountain of Life
ndgt,dalaran guard tower
ndke,dark portal (southeast)
ndkw,dark portal (southwest)
ndmg,demon gate
ndrb,Dragon Building
ndt1,cold tower
ndt2,cold tower upgraded
nef0,elven farm
nef1,elven farm
nef2,elven farm
nef3,elven farm
nef4,elven farm
nef5,elven farm
nef6,elven farm
nef7,elven farm
nefm,elven farm
negf,elven guard fire tower
negm,elven guard magic tower
negt,elven guard tower
net1,energy tower
net2,energy tower upgraded
nfnp,purple fountain
nfrm,frostmourne pedestal
nfrt,fruit stand
nft1,flame tower
nft2,flame tower upgraded
nfv0,elven fishing village
nfv1,elven fishing village
nfv2,elven fishing village
nfv3,elven fishing village
nfv4,elven fishing village
ngob,gemstone obelisk
nhcn,horn of cenarius pedestal
nheb,High Elven Barracks
nico,icecrown obelisk
nitb,treasure box
nmgv,magic vault
nnad,altar of the depths - naga altar
nnfm,coral bed - naga farm
nnsa,shrine of azshara - naga caster barracks
nnsg,spawning grounds - naga barracks
nntg,tidal guardian - naga tower
nntt,temple of tides - naga town hall
npgf,Pig Farm
npgr,power generator
nshr,shrine
ntt1,death tower
ntx2,death tower upgraded
nvr0,elven fishing village
nvr1,elven fishing village
nvr2,elven fishing village
nwc1,wyvern cage 1
nwc2,wyvern cage 2
nwc3,wyvern cage 3
nwc4,wyvern cage 4
nzin,zone indicator
ocbw,Chaos OrcBurrow
zcso,chaos space orc
zhyd,hydralisk
zjug,orc juggernaut
zmar,Marine
zshv,shoveler
zsmc,sammy cube
zzrg,zergling
Nmsr,Murloc Sorceror
Nswt,Sea Witch
ntn3,Tent
nggm,granite golem
nggg,granite golem
nggd,rock golem
ngow,gnoll king
nwzw,rogue wizard
ngos,gnoll king
ngog,dog
nwar,Siege Engine
nccd,Siege Engine
ncco,Siege Engine
nccu,Siege Engine
nccr,Siege Engine
Hjnd,sylvanus windrunner
nmg2,Mur'gul Hut 1
nhn2,harpy nest
obai,spiritwalker
hrrh,Peasant
Haah,HeroArchMage
Hssa,HeroPaladin
Hddt,ThalorienDawnseeker
owad,WolfRider
